sample,time_s,ecg_mV
0,0.0,0.04711320727762486
1,0.004,0.056515709856377466
2,0.008,0.039775358685743896
3,0.012,0.0009040573042911363
4,0.016,0.005011300197828139
5,0.02,0.036196014779819125
6,0.024,0.07123497853157158
7,0.028,0.05974629265808241
8,0.032,0.05029578894776113
9,0.036,-0.007384936939654075
10,0.04,0.024895290481188263
11,0.044,0.053652071939658
12,0.048,0.06756959750309055
13,0.052,0.036554062876908475
14,0.056,0.002361597403788558
15,0.06,0.023470362978568898
16,0.064,0.05793195392197601
17,0.068,0.07266010104578267
18,0.072,0.03407314161304848
19,0.076,0.018645689469675916
20,0.08,0.03106423646913129
21,0.084,0.08139543699403022
22,0.088,0.06748709431898432
23,0.092,0.029061398340446562
24,0.096,0.028977903755813175
25,0.1,0.0514839597851845
26,0.104,0.09384508357695409
27,0.108,0.0710032822960807
28,0.112,0.034720995723898584
29,0.116,0.029038688659284412
30,0.12,0.025604971339667295
31,0.124,0.08023608103947294
32,0.128,0.06567645215948681
33,0.132,0.022363948767856787
34,0.136,0.017060322010413864
35,0.14,0.08307052844119199
36,0.144,0.07472348962105001
37,0.148,0.0958811309714318
38,0.152,0.007872125965303265
39,0.156,0.020276730077156323
40,0.16,0.06337571883215332
41,0.164,0.105139398488789
42,0.168,0.09552976706079985
43,0.172,0.05671938242269175
44,0.176,0.024307091594889793
45,0.18,0.0564133340298638
46,0.184,0.11433834328006517
47,0.188,0.08361981903022485
48,0.192,0.023854076111872204
49,0.196,0.014621263688908988
50,0.2,0.052702790177684665
51,0.204,0.11246951102138832
52,0.208,0.09439562914646875
53,0.212,0.06419867376023493
54,0.216,0.03251913524148132
55,0.22,0.07759255730176191
56,0.224,0.12063579888056813
57,0.228,0.09257084749629066
58,0.232,0.06684806446620377
59,0.236,0.03580955091230309
60,0.24,0.07649866425298435
61,0.244,0.11171256313547083
62,0.248,0.0868802994564492
63,0.252,0.07886707564435264
64,0.256,0.0521153817728446
65,0.26,0.09761966420821216
66,0.264,0.14326955663880073
67,0.268,0.13428511046171163
68,0.272,0.1018504453726285
69,0.276,0.08058704858883592
70,0.28,0.11365257916888637
71,0.284,0.15915645029403772
72,0.288,0.12391449937050579
73,0.292,0.09383648169939211
74,0.296,0.09037966248943327
75,0.3,0.13674628316082743
76,0.304,0.2025190894829695
77,0.308,0.173670288556937
78,0.312,0.14929108160039142
79,0.316,0.1738432867866452
80,0.32,0.18408637867554753
81,0.324,0.24337885499714892
82,0.328,0.20634839057375856
83,0.332,0.18341373035931732
84,0.336,0.16164113048515835
85,0.34,0.20942898634439197
86,0.344,0.266540857147425
87,0.348,0.20925467958613636
88,0.352,0.20769275011253144
89,0.356,0.1911354872217338
90,0.36,0.20819489189422838
91,0.364,0.22398735364229685
92,0.368,0.2355984169453712
93,0.372,0.17986339667014747
94,0.376,0.1764452533793914
95,0.38,0.2009611105505588
96,0.384,0.257272328485608
97,0.388,0.20568355042898515
98,0.392,0.14448895005067458
99,0.396,0.1474022017706171
100,0.4,0.17541980387196204
101,0.404,0.22332674745527886
102,0.408,0.195495500747354
103,0.412,0.1403328791368777
104,0.416,0.14245682234339382
105,0.42,0.12330505504295174
106,0.424,0.16217846137794942
107,0.428,0.14042819481102273
108,0.432,0.10550027283024523
109,0.436,0.07200053882367496
110,0.44,0.13888887375746234
111,0.444,0.15452072369819939
112,0.448,0.11747288945606994
113,0.452,0.08299702468021253
114,0.456,0.09298167372719672
115,0.46,0.13474777910059774
116,0.464,0.18812896254974223
117,0.468,0.19126006278675584
118,0.472,0.10434130617746251
119,0.476,0.06500903161737004
120,0.48,0.07502829297264071
121,0.484,0.14626923304538889
122,0.488,0.10497705905438885
123,0.492,0.057122094677309526
124,0.496,0.022882366403931688
125,0.5,0.04552880610381854
126,0.504,0.08572224430038747
127,0.508,0.05312646654245182
128,0.512,0.021092182370587412
129,0.516,0.03165332782952741
130,0.52,0.12150405684993058
131,0.524,0.2768807403220007
132,0.528,0.40674585048116874
133,0.532,0.5636056856871647
134,0.536,0.7045553697658643
135,0.54,0.9314219408424858
136,0.544,1.0814022169406765
137,0.548,1.1358494082386803
138,0.552,1.0960870377051968
139,0.556,1.0023980379290744
140,0.56,0.9361352921420781
141,0.564,0.7281292667945883
142,0.568,0.5497353650835368
143,0.572,0.29762230854152877
144,0.576,0.1673021893244195
145,0.58,0.07306728732307138
146,0.584,0.010413999996470583
147,0.588,-0.058116108885307265
148,0.592,-0.14290576980400033
149,0.596,-0.1457024694485196
150,0.6,-0.11888902841559296
151,0.604,-0.07428076057088981
152,0.608,-0.052639229716767585
153,0.612,-0.028043702183589866
154,0.616,0.023343630555097212
155,0.62,0.06528424872771868
156,0.624,0.12122194167639204
157,0.628,0.13661640341523426
158,0.632,0.12865972713999207
159,0.636,0.10659390503076834
160,0.64,0.13558160236068045
161,0.644,0.20129863377027093
162,0.648,0.1804907652025463
163,0.652,0.16295308881388476
164,0.656,0.12951185720364394
165,0.66,0.14121616530745695
166,0.664,0.17591661571820616
167,0.668,0.22184591658754058
168,0.672,0.18664221564077965
169,0.676,0.14465349835257071
170,0.68,0.17962188002371646
171,0.684,0.25183337851986315
172,0.688,0.1989872515670249
173,0.692,0.16814852317298484
174,0.696,0.1899868718678606
175,0.7,0.2118388811661349
176,0.704,0.25975708818649723
177,0.708,0.25217484382613314
178,0.712,0.22837625287423063
179,0.716,0.24357431128012105
180,0.72,0.2621131118176733
181,0.724,0.3145891594786521
182,0.728,0.2628484788581866
183,0.732,0.26739843144371195
184,0.736,0.25020984502337107
185,0.74,0.2866750438555504
186,0.744,0.33609351742637494
187,0.748,0.34317777969679725
188,0.752,0.3344887578977968
189,0.756,0.2912576476481553
190,0.76,0.35864289201721977
